"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","95%_HPDL","95%_HPDU"
"A#",-2.96032571620708,0.0891372081040954,-3.1390665224601,-2.95876151906376,-2.7903042653186,1,3644,-3.13434739614341,-2.78745219767172
"AB",2.96032571620708,0.0891372081040954,2.7903042653186,2.95876151906376,3.1390665224601,1,3644,2.78745219767172,3.13434739614341
"BA",-1.48588247421989,0.0560594061664163,-1.59471099086659,-1.48663353741336,-1.37633901497364,1.01,1932,-1.59539873718878,-1.37756217714483
"B#",-1.43575607895831,0.0561878420923071,-1.54587107744606,-1.43500670201628,-1.32637459591064,1,1652,-1.54400162955822,-1.32544907872096
"BC",2.9216385531782,0.0601828443191024,2.80502391365246,2.9216409604042,3.04236769783668,1.01,830,2.80257236470879,3.03931491301319
"CA",-0.170843477588241,0.0305281988314285,-0.230710485842539,-0.171169192419148,-0.111409975789958,1.01,685,-0.23152701898738,-0.1123560503863
"CB",-0.100559042023723,0.0299862722080194,-0.158003669440244,-0.100641641088306,-0.0413157339656013,1.01,743,-0.159223747663496,-0.0430618904423081
"CD",0.271402519611964,0.0498404739293793,0.174117072994069,0.270981883339819,0.368790048178259,1.02,408,0.179230904365062,0.372946333034161
"DB",0.165691794758002,0.04168818357951,0.0819528898290175,0.165850886909562,0.247452026671537,1.01,1793,0.0803591682775133,0.244290677275308
"DC",-0.0622663845981146,0.0445247402563387,-0.151182832892291,-0.0611900936428772,0.02468753293083,1.01,1666,-0.148204244898965,0.0268459506625314
"D#",-0.0536471871134279,0.0447819091486628,-0.141275059543354,-0.0538328119989359,0.0343277370896505,1,1426,-0.141606971596072,0.0336835854448612
"DE",-0.0497782230464598,0.0623338204666174,-0.171828112203635,-0.0494148848285184,0.0748334369301503,1.01,568,-0.166971198588173,0.0783890634093291
"EC",0.263193672738733,0.0586518731891685,0.150218179706307,0.263229006531531,0.379493733188774,1,2111,0.146969787353387,0.375318911181721
"E#",-0.0623579473523447,0.0620056449307175,-0.182627756364448,-0.0624722356070059,0.0616312276094558,1,2237,-0.176109227384957,0.0671145024469751
"EF",-0.200835725386388,0.0676758639783836,-0.336143607046135,-0.200179340599935,-0.0696204162108946,1.01,905,-0.332549880808002,-0.0673781513443059
"FC",0.742581169773653,0.0659875238581793,0.616768811099906,0.740749092344294,0.874039127725678,1,3281,0.612856783313066,0.868947295258136
"FD",1.23794920975229,0.0617572506429763,1.11708262755016,1.237872884819,1.35755078468441,1,2938,1.11468473088691,1.3544668845322
"FG",-1.98053037952594,0.0898115791394122,-2.15630308322581,-1.97985664925696,-1.80917186636984,1,1955,-2.14943217611845,-1.80356324096802
